,user_id,recommendation
0,XbiKsujS_qxU3xsr0xUqmQ,"Hot Spot Chinese Cuisine, Restaurant Chase, Five Spice Kitchen, Cibo Wine Bar, Ghazale Restaurant, Crack Me Up, The Empanada Company, Field Trip Cafe, ChuChai, Annabelle Pasta Bar"
1,CjbfWpCRLbA-L_eS_ztd6Q,"Moti Mahal , Kawa Sushi, Zucca Trattoria, Grandeur Palace, OMG Restaurant & Lounge, Mira Mira, Pho Dau Bo, Curry Love, Home Of The Brave, Maluca Wine Bar & Restaurant"
2,JrXC_MDp38BWwLn2SFdNsA,"Bolan Thai Cuisine, Saigon Bangkok Restaurant, Sorrel, Porchetta & Co, Paradis BBQ, John's Fish & Chips, Dbarkadz Filipino Cuisine, Diana's Oyster Bar and Grill, Crepe TO, Eggspectation"
3,CxDOIDnH8gp9KXzpBHJYXw,"Laloux, Negroni, Pray Tell, The Monkey Bar, Kitchen Galerie, The Lunch Box, Positano Restaurant, Martino's Pizza & Asian Fusion Kitchen, Bus Terminal Diner, Cuchulainn's Irish Pub"
4,U1vl4SQzO3wTAWlYVnSjnw,"8 Sushi, Banh Xeo Minh, Positano Restaurant, Omma, Subway, Hoche Café, Kam Shing, Yoshi Sushi, Le Red Tiger, Terrasse sur l'Auberge"
5,wffnrXJoLppOlvNOZKU70A,"Trinity Square Cafe, Le Taj, La Fonderie, Boulangerie Spicee, KimGalbi, Les îles en ville, Négasaké, Mochica, Quesada Burritos & Tacos, Duc de Lorraine"
6,tU94-C1zpBsfGFvpsJJr2w,"Kenzo Ramen, Bistro Guru, Mr Tonkatsu, Balzac's Coffee, Nolbu, Pelican Pier Seafood Bar, 7 Pizzeria Enoteca, Pomarosa Coffee Shop & Kitchen, Mr Flamingo, Carvalho Coffee"
7,qKpkRCPk4ycbllTfFcRbNw,"Boxermans, Comptoir 21, Laïka, Comptoir Rhubarbe, Paul Patates, Izu Sushi, Parthenon, Trilogie, The Crepe Kitchen, Chaska Indian Street Food Obsession"
8,O3pSxv1SyHpY4qi4Q16KzA,"Cafe Belong, Mr Jerk, Ali Baba's Middle Eastern Cuisine, Hastings Snack Bar, Chunky Chicken, Caribbean Taste, Jangwon, Lone Star Texas Grill, Brewsters Brewing Company & Restaurant, For The Win Board Game Cafe"
9,Plqi4pG84PA_vBM8OfDPDg,"KOS Cafe and Restaurant, Pizzaiolo, Boralia, Thai Smile, Krystos Modern Greek Cuisine, CASA manila Restaurant, Mandarin Restaurant - Toronto, South St. Burger, Big Ragu, Trattoria Timone"
