,user_id,recommendation
0,XbiKsujS_qxU3xsr0xUqmQ,"Portland Variety, Ginger & Onion Cuisine, Gonoe Sushi, Odd Seoul, Sharetea, Valens Restaurant, Napoli Centrale, Home Of The Brave, Hair of the Dog, Tosto Quickfire Pizza Pasta"
1,CjbfWpCRLbA-L_eS_ztd6Q,"Little Piggy's, Walkers Wine Bar & Grill, Copacabana Brazilian Steak House, Pasha Authentic Turkish Cuisine, A-Game Cafe, Sud Forno, Trattoria Nervosa, Sansotei, Dragon Pearl Buffet, Azyun Restaurant"
2,JrXC_MDp38BWwLn2SFdNsA,"Diana's Oyster Bar And Grill, Millie Cafe, Urban Herbivore, Kaka All You Can Eat, Philthy Philly's, Sushi Legend, New City Restaurant, Daldongnae, The Oxley, Second Cup"
3,CxDOIDnH8gp9KXzpBHJYXw,"Legend Pot, The Keg Steakhouse + Bar - Mansion, DM Chicken, Azyun Restaurant, Maple Yip Seafood Restaurant, J'adore Hot Pot, Honest Weight, Congee Town, GuangZhou Tai Ping Sha Chinese Restaurant, Green Tea Restaurant"
4,U1vl4SQzO3wTAWlYVnSjnw,"GaNaDaRa, Didar, Sushi Shop, Opiano, Serrano Bar-B-Q, Ô Claf, Cinko, Bocadillo, Five Guys, Maison Christian Faure"
5,wffnrXJoLppOlvNOZKU70A,"Souriana, Cafe Aunja, Takumi, Le Festin du Capitaine, Industria Pizzeria + Bar, Duc de Lorraine, The Keg Steakhouse + Bar - Place Ville Marie, Bâton Rouge, Pizzéria N° 900 Peel, Burger Bar Crescent"
6,tU94-C1zpBsfGFvpsJJr2w,"Boogies Burgers, Social Eatery, Greek Stop, Little Sheep Mongolian Hot Pot, Daldongnae, Colette Grand Cafe, Browns Socialhouse Erin Mills, JOEY Sherway, Cheers Chicken & Beers, Azyun Restaurant"
7,qKpkRCPk4ycbllTfFcRbNw,"Tejano, Café Martin, Eva B, Le Lab, Bâton Rouge, Monopole, Arriba Burrito, Le Majestique, Cantinho de Lisboa, Les Deux Gamins"
8,O3pSxv1SyHpY4qi4Q16KzA,"Bar Hop, The Captain's Boil, R&D Restaurant, The Senator, Lao Thai Restaurant, Rorschach Brewing Company, The Wren, Bellwoods Brewery, 3030, Indie Ale House"
9,Plqi4pG84PA_vBM8OfDPDg,"Onnki Donburi, TORCH Pressed Sushi, The Good Fork, Beast, Bloomer's, The Shore Club - Toronto, Chabrol Restaurant, The Keg Steakhouse + Bar - York Street, The Wren, Barberian's Steak House"
10,Ao-6FYE29-I8WwPg67806A,"TYC - The Yellow Chilli - By Sanjeev Kapoor, Top Choice Restaurant, Go Topoki, Holy Chuck, Stock In Trade, Maezo - Modern Indian Cuisine, Daldongnae, KINTON RAMEN, Li Dynasty Indian Hakka Chinese Cuisine, Saryo Cafe"
11,jpIGlAym6z88W2xzHiK5_A,"Punjabi Sweet House & Restaurant, Thomsons Restaurant, La Chaumiere Restaurant, LOCAL Public Eatery, Moxie's Grill & Bar, The Guild, Suzette Brittany Bistro, Aida's Mediterranean Bistro, Briggs Kitchen + Bar, Cibo"
12,PGeiszoVusiv0wTHVdWklA,"Masseria, Korean Village Restaurant, Luna Cafe, Farmhouse Tavern, Uncle Mikey's, Odd Seoul, Porchetta & Co, Northern Belle, Branca, Forget Me Not Cafe"
13,U5YQX_vMl_xQy8EQDqlNQQ,"Stoney's Bread Company, Sushi 2 Go, The WORKS Gourmet Burger Bistro, Hey Lucy, Kovalsky Restaurant, Scaddabush Italian Kitchen & Bar, Huevos Gourmet, Luca Pizza, 17 Steakhouse and Bar, Sansotei Ramen"
14,XrYTMhY9YJvzX2pMepIz7A,"Banh Mi Ba Le, Nando's, Electric Mud BBQ, Revitasize, Cups Bingsu Café, Birch Bistro, Baklawa King, Zavida Coffee Roasters, Mr ChiMaek, Azyun Restaurant"
15,orh0HRUNCWuQMt9Iia_osg,"Remezzo Italian Bistro, Cafe de Causette, Original Congee, Green Tea Restaurant, Lac Vien Vietnamese Restaurant, Szechuan Legend, Kenny's Noodle, Kaka All You Can Eat, Tasty BBQ Seafood Restaurant, Sam's Congee Delight"
16,CQ67NJigSe5-uBDX3b_CUw,"Xe Lua Restaurant, The Royal Chinese Restaurant, Nami Restaurant, Tofu Village - House of Soon Tofu, Ten23, Chatime - Dundas, Raijin Ramen, Naniwa-Taro, Sansotei, Riddle Room"
17,jwctwzboGhQmtC50Juxa9A,"iQ Food, Mother's Dumplings, Toast Delight, MINE Sushi, New City Restaurant, Flaming Kitchen, CoCo Fresh Tea & Juice Richmond Hill, Satay Sate, Kaka All You Can Eat, Azyun Restaurant"
18,TibBhm-fbksozIDFD8wjPQ,"Actinolite Restaurant, Bapbo Korean Restaurant, Hemingway's Restaurant, Tosto Quickfire Pizza Pasta, Fresh on Spadina, Vietnam Lovely Noodle, Chez Tousignant, Boar, Té, Rasa"
19,ic-tyi1jElL_umxZVh8KNA,"Gohyang Restaurant, Five Guys, Milestones Restaurants, Maurya East Indian Roti, Woody's Burger Bar and Grill, Bua Thai Cusine, The Pie Commission, 850 Degrees Pizzeria, Simon Sushi, K&B Sushi"
20,uz5-sq6wHrXScrIWb8r1Mg,"Si Lom Thai Bistro, Vietnam Lovely Noodle, Tiger BBQ, Azyun Restaurant, Morals Village, Papa Spicy, Saryo Cafe, Bannock, Go Topoki, Sukho Thai"
21,LB5ViGU59ww2XRCx803t0w,"Kiku, Get & Go Buritto, Pizza Pizza, Sultan of Samosas, Coffee Culture, Burrito Boyz, Subway, Chung Moi, Honey B Hives Restaurant, Kandahar Kabab"
22,8Dvr-U6jCZTVGD52LwC2qA,"Sushi Shop, Gonoe Sushi, Saryo Cafe, Lohas Cafe, Tapagria Spanish Tapas, Mr Tonkatsu, Light Cafe, Matsuya Korean House, STACK, Naniwa-Taro"
