,user_id,recommendation
0,XbiKsujS_qxU3xsr0xUqmQ,"Frite Alors, Sachi Sushi, Canyon Creek, Hai Tang Cafe, B'saha Restaurant, McEwan, Wow Sushi, Blossom Pure Organic, North Stars Bar & Grill, Kaiju"
1,CjbfWpCRLbA-L_eS_ztd6Q,"Silk Road Restaurant, Aish Tanoor, Cardinal Rule, Bikkuri Japanese Restaurant, Mezzetta Restaurant & Tapas Bar, Lykn Chicken, Doner Kebab House, Sushi Osaka, Ryoji Ramen & Izakaya, Narula's"
2,JrXC_MDp38BWwLn2SFdNsA,"Drupati's Roti & Doubles, McDonald's, Red Soul Japanese Restaurant, Wow Sushi, Jerusalem Shawarma, Freshii, Bâton Rouge Steakhouse & Bar, Mashu Mashu Mediterranean Grill, Basha - Marché Jean Talon, Shanghai Chinese Restaurant"
3,CxDOIDnH8gp9KXzpBHJYXw,"Lili.Co, Da Ke Yi Snacks, Kramer's Bar & Grill, Zakkushi, Potato Noodle Soup of Bai, China Cottage, Soupesoup, Kim Kim Indian Hakka Chinese Restaurant, Beef Noodle Restaurant, Kong Kee Barbeque"
4,U1vl4SQzO3wTAWlYVnSjnw,"La Bella Italiana, Bastix Souvenirs, TrueTrue, Swiss Chalet Rotisserie & Grill, Big Bite Burrito, Wraps On The Go, Sometime Restaurant, Restaurant Lyla, A&W, Thai Island"
5,wffnrXJoLppOlvNOZKU70A,"Hakka Legend Asian Cuisine, Bulakenyos, Patchmon's Thai Desserts & More, Restaurant Bercy, Chandni Chowk Restaurant, Dayali, Café Myriade, Pizza Shab, Goodfood, Kesté"
6,tU94-C1zpBsfGFvpsJJr2w,"Subway, Elegance Chinese Cuisine & Banquet, Ruby's Mediterranean Cuisine, Chung King Garden Restaurant, New Da Fu Seafood Cuisine 新大福海鮮酒樓, Mother Goose, Excellent Bbq House, Queen Victoria Pub, Yogi's Noodle, Folco's Ristorante"
7,qKpkRCPk4ycbllTfFcRbNw,"Chef's Table MTL, Ichi Sushi, Pho Viet, Goodfood, Green Bamboo Restaurant, Keung Kee, Café Cantina, Anton & James, GAB, Kit Kat Italian Bar & Grill"
8,O3pSxv1SyHpY4qi4Q16KzA,"Clockwork Coffee, Hunter's Pizza, Big Pita, Asian Bowl, Alexandros Take-Out, H2 Kitchen, Lac Vien Vietnamese Restaurant, Ajisen Ramen, Popeyes Louisiana Kitchen, El Patio"
9,Plqi4pG84PA_vBM8OfDPDg,"Naan & Kabob, Sunset Grill, Remarkable Bean, Wah Too, Spring Rolls, Axis Gallery & Grill, Sultan Shawarma & Falafel, Le Richmond - Marché Italien, Tim Hortons, Pies Plus Cafe"
10,Ao-6FYE29-I8WwPg67806A,"Aris Place, Zakkushi, St James Town Steak & Chops, Pizza Nova, Sushi Shop - Riocan Yonge Eglinton Centre, Omni Eatery, Congee Me, The Feathers Pub, Café Cantina, Le Viet Sandwich"
11,jpIGlAym6z88W2xzHiK5_A,"The Living Room Restaurant, Churrasqueira Martins, Pure Contemporary Vietnamese Kitchen + Bar, 168 Sushi Japan Buffet, Pita Grill, Roma Catering, Blowers & Grafton, KFC, Stromboli Inn, Beckham's Pub & Pizza"
12,PGeiszoVusiv0wTHVdWklA,"Clarkson Mediterranean Bistro, iQ Food, Sardab Restaurant, lbs. Restaurant, Altona Kebob, Oh Bar, Mandarin - Markham East, La Prep, Kingsmen Pub & Grill, Churrasqueira DO Sardinha"
13,U5YQX_vMl_xQy8EQDqlNQQ,"Wendy's, Tacorrito, Michel's Bakery Cafe, Mii Sandwich Co, Corrado's, Spice Thai Cafe, Chaplus, Sassafraz, The Rex Hotel Jazz & Blues Bar, Loga's Corner"
14,XrYTMhY9YJvzX2pMepIz7A,"Teriyaki Experience, Annapurnas Mithai Shoppee, Afghan Kebob Cuisine, Kwality Grand Indian Buffet, Jack Astor's Bar & Grill, Tealicious Tea House, Kairali - Taste of Kerala, Simon's Wok, Chatime, Diana's Oyster Bar and Grill"
15,orh0HRUNCWuQMt9Iia_osg,"Montana's BBQ & Bar, iQ Food, Tagpuan, Shater Abbas Express, Etoile des Indes, Salad Thai Restaurant, Junction Local, Pinkerton Snack Bar, Taste & Spicy, Starbucks"
16,CQ67NJigSe5-uBDX3b_CUw,"Genki Sushi, Loaded Pierogi, Queen Star Restaurant, Markham Ribfest and Music Festival, Harvey's, Pizza Hut, TO Food Fest, McDonalds, Swiss Chalet Rotisserie & Grill, Arkady Bistro Café"
