,user_id,recommendation
0,XbiKsujS_qxU3xsr0xUqmQ,"The Poke Box, James Cheese Back Ribs, Mi'hito Sushi Laboratory, Home Of The Brave, Bar Verde, Hawthorne Food and Drink, Piano Piano, Provo FoodBar, Jack Astor's Bar & Grill, Portland Variety"
1,CjbfWpCRLbA-L_eS_ztd6Q,"Eggette Hut, Ten23, August 8, Sang-Ho Seafood Restaurant, Xe Lua Restaurant, Sansotei, Tasty BBQ Seafood Restaurant, Azyun Restaurant, Golden Horse Restaurant, House of Gourmet"
2,JrXC_MDp38BWwLn2SFdNsA,"Maison Du Japon, Daldongnae, Spicy Mafia, Fabbrica, New City Restaurant, Chris Jerk Caribbean Bistro, Wonton Chai Noodle, The Oxley, KINTON RAMEN, Good Taste Casserole Rice"
3,CxDOIDnH8gp9KXzpBHJYXw,"Miss Lin Cafe, Amano, Spicy Mafia, Cafe Alice, Mon Ami - Korean BBQ, Hanabusa Cafe, Wow Sushi, Potman Hotpot, Restaurant Ethan, Good Taste Casserole Rice"
4,U1vl4SQzO3wTAWlYVnSjnw,"Restaurant Beijing, Mon Shing Restaurant, Un Bol de Nouilles, Cartel, Didar, Bombay Tandoori, Serrano Bar-B-Q, Madras Curry House, Pizzéria N° 900 Peel, Student Tasty Biryani"
5,wffnrXJoLppOlvNOZKU70A,"Lattuca Barbecue, Marmite Su'l Feu, Pizzéria N° 900 Peel, Ramen Misoya, La Panthère Verte, Singh's, Boustan, Bouillon Bilk, Darbar, Student Tasty Biryani"
6,tU94-C1zpBsfGFvpsJJr2w,"Speducci Mercatto, Chipotle Mexican Grill, Cucina Locale, Casa Deluz Banquet Hall, Galleria Supermarket, Tendou Matcha & Dessert, Kim Bo Vietnamese & Thai Restaurant, New Korea Restaurant, Harvey's Restaurants, Swiss Chalet"
7,qKpkRCPk4ycbllTfFcRbNw,"Copper Branch, Le Square, Dunn's Famous, Pizzeria Moretti, Cantinho de Lisboa, Bouillon Bilk, La Panthère Verte, Lola Rosa, Curry Mahal, St-Viateur Bagel & Café"
8,O3pSxv1SyHpY4qi4Q16KzA,"Mother's Dumplings, Banjara Indian Cuisine, Hooters, Little India Restaurant, Fring's, Reds Midtown Tavern, Indie Ale House, Fusaro's Kitchen, Hunters Landing Bar Grill Hub Restaurant, LOCAL Public Eatery"
9,Plqi4pG84PA_vBM8OfDPDg,"Good Taste Casserole Rice, Carters Landing, KINTON RAMEN, Phoenix Restaurant, Film Cafe by Eative, 7 West Cafe, FAT Lamb Kouzina, Hakata Shoryuken, Snakes & Lattes College, TORCH Pressed Sushi"
10,Ao-6FYE29-I8WwPg67806A,"Terre Rouge, Chris Jerk Caribbean Bistro, Glorious Chinese Cuisine, Daldongnae, Kwan Dim Sum Express, Pitalicious, Saryo Cafe, Kiku, Me Va Me Kitchen Express, Li Dynasty Indian Hakka Chinese Cuisine"
11,jpIGlAym6z88W2xzHiK5_A,"Shibuya Izakaya, Ruth's Chris Steak House, 4th Spot Kitchen & Bar, Los Chilitos, Suzette Brittany Bistro, Cibo, Native Tongues Taqueria, Buttermilk Fine Waffles, Briggs Kitchen + Bar, Sun's BBQ Restaurant"
12,PGeiszoVusiv0wTHVdWklA,"Bar Cru, Campagnolo, Sala Modern Thai Kitchen & Bar, Brothers, Northern Belle, Forget Me Not Cafe, Pinky's Ca Phe, Alo Restaurant, Cafe CanCan, Uncle Mikey's"
13,U5YQX_vMl_xQy8EQDqlNQQ,"The Burger's Priest, A'mei Kitchen, K&B Sushi, Yummy Ramen, Ruth's Chris Steak House, Pho Vuho, Sloppy Joe's Bar & Grill, Noodle Wok, One2 Snacks, Pita Grill"
14,XrYTMhY9YJvzX2pMepIz7A,"Yuzu No Hana, August 8, College Falafel, Wow Sushi, Pho Vuho, Go Topoki, Lee Chen Asian Bistro, Flaming Kitchen, Azyun Restaurant, Gyugyuya"
15,orh0HRUNCWuQMt9Iia_osg,"Go Topoki, La Sani Grill, Golden Swiss Eat N run, Lac Vien Vietnamese Restaurant, Mamajoun Armenian Pizzeria, Global Imperial Cuisine, Super Taste Chinese Cuisine, Mika Sushi, Remezzo Italian Bistro, Kenny's Noodle"
16,CQ67NJigSe5-uBDX3b_CUw,"Quesada Burritos & Tacos, Egglicious, Ghazale, Green Mango Boys, Shanghai 360, Royale Fine Dining Banquet, St. Louis Bar & Grill, Thai Express, Lee Chen Asian Bistro, Sansotei"
17,jwctwzboGhQmtC50Juxa9A,"Lohas Cafe, J'adore Hot Pot, Hanabusa Cafe, Toast Delight, Tendou Matcha & Dessert, Green Grotto Tea Room, Snow Time, Saryo Cafe, Good Taste Casserole Rice, Azyun Restaurant"
18,TibBhm-fbksozIDFD8wjPQ,"The Good Fork, Té, Boar, La Palma, Constantine, Urban Herbivore, Nutbar, Hemispheres Restaurant & Bistro, Bi Bim Bap, Sansotei"
19,ic-tyi1jElL_umxZVh8KNA,"Little India Restaurant, Holy Chuck, The Old Spaghetti Factory, Apache Burgers, 850 Degrees Pizzeria, Kabul Express, Simon Sushi, The Pie Commission, Tich Modern Indian Cuisine, K&B Sushi"
20,uz5-sq6wHrXScrIWb8r1Mg,"Green Grotto, Lime Asian Kitchen, Coquine Restaurant, Rodney's Oyster House, Alanoor Afghan Kabob, James Cheese Back Ribs, Tokyo Grill, Sugar Marmalade, TORCH Pressed Sushi, Saryo Cafe"
21,LB5ViGU59ww2XRCx803t0w,"Anestis Taverna, Mezes, Pitalicious, 309 Dhaba Indian Excellence, Laziza, Get & Go Buritto, Golden Shanghai Restaurant, One Restaurant, Lucky Chinese Restaurant, Kim Kim Indian Hakka Chinese Restaurant"
22,8Dvr-U6jCZTVGD52LwC2qA,"BlackGold Cafe, TOCA, Good Taste Casserole Rice, Kid Lee, MY Restaurant, Lee Chen Asian Bistro, Scotthill Carribean Cuisine, Bikkuri Japanese Restaurant, Eggette Hut, Saryo Cafe"
