,user_id,recommendation
0,XbiKsujS_qxU3xsr0xUqmQ,"Odd Seoul, Sansotei Ramen, Otto's Berlin Döner, Canis, Crown Prince Fine Dining & Banquet, BarChef, Gong Cha Tea, Tosto Quickfire Pizza Pasta, The Dumpling King, Sakawa Coffee & Japanese Restaurant"
1,CjbfWpCRLbA-L_eS_ztd6Q,"Copacabana Brazilian Steak House, Wow Sushi, Pie Squared, Banh Mi Boys, Pho Ngoc Yen Restaurant, Ajisen Ramen, Double D's, Congee Queen, The Keg Steakhouse + Bar - Estate Drive, Pomegranate Restaurant"
2,JrXC_MDp38BWwLn2SFdNsA,"Lime Asian Kitchen, LOCAL Public Eatery, Main St Greek, Peter's Fine Dining Steak and Seafood, Kenzo Ramen, Me Va Me Kitchen Express, Pi Co, Second Cup, The Oxley, Nichiban Sushi4U"
3,CxDOIDnH8gp9KXzpBHJYXw,"Bulldog Coffee, Hexagon, GuangZhou Tai Ping Sha Chinese Restaurant, Panagio's All Day Grill, Northwestern Chinese Cuisine, Pho'Q, JaBistro, The Wickson Social, Hai Tang Cafe, Basil Box"
4,U1vl4SQzO3wTAWlYVnSjnw,"L'Oeufrier, Dunn's Famous, Adamo, Café Pacefika, Serrano Bar-B-Q, Satay Brothers, Bon Vivant, Kamehameha, Cadet, Didar"
5,wffnrXJoLppOlvNOZKU70A,"Chef on Call, Le Quartier Général, Avesta Resto Café, Dessert Cafe Momo, Pizzéria N° 900 Peel, Duc de Lorraine, Industria Pizzeria + Bar, Bâton Rouge, Ramen Misoya, Souriana"
6,tU94-C1zpBsfGFvpsJJr2w,"Saryo Cafe, Millie Creperie, Bubble Republic Tea House, Magic Noodle, Enoteca Sociale, Song Cook's, Lohas Cafe, El Habanero & Churrobar, Mii Sandwich, Wonton Chai Noodle"
7,qKpkRCPk4ycbllTfFcRbNw,"Restaurant Rosélys, Saiko Bistrot Izakaya, Cantinho de Lisboa, St-Viateur Bagel & Café, L'Usine de Spaghetti, Chez Ennio, Pitarifique, Didar, Curry Mahal, Monopole"
8,O3pSxv1SyHpY4qi4Q16KzA,"Joe Beef, The Senator, R&D Restaurant, The Oxley, Yutaka, Sukho Thai, Indie Ale House, Hunters Landing Bar Grill Hub Restaurant, Lao Thai Restaurant, Union Social Eatery"
9,Plqi4pG84PA_vBM8OfDPDg,"Bar Reyna, Kyoto House Japanese Restaurant, Mymy Chicken, Dagu Rice Noodle, Patois Toronto, The Good Fork, Bubble Republic on Bay, Square Fish, Barberian's Steak House, Terroni"
10,Ao-6FYE29-I8WwPg67806A,"Dim Sum King Seafood Restaurant, Té, The Drake Hotel, Roll & Roll by JC Mart, The Keg Steakhouse + Bar - Mansion, The Dumpling King, Kwan Dim Sum Express, Banjara Indian Cuisine, Northwestern Chinese Cuisine, Kiro Sushi"
11,jpIGlAym6z88W2xzHiK5_A,"Seasons of Bowness Park, Tipperary's Pub, Los Chilitos, Crunchy House, Rau Bistro Vietnamese Street Food, The Palomino, Boogies Burgers, Shiki Menya, Buttermilk Fine Waffles, Añejo Restaurant"
12,PGeiszoVusiv0wTHVdWklA,"Odd Seoul, Grandeur Palace, Baretto Caffe, Weslodge, Pizzeria Defina, Farmhouse Tavern, Northern Belle, Barrio Coreano, Porchetta & Co, Cafe CanCan"
13,U5YQX_vMl_xQy8EQDqlNQQ,"Odd Seoul, Hey Lucy, Scaddabush Italian Kitchen & Bar, Kovalsky Restaurant, Oriental Rice Noodle, The WORKS Gourmet Burger Bistro, Thompson Diner, 17 Steakhouse and Bar, Luca Pizza, Sansotei Ramen"
14,XrYTMhY9YJvzX2pMepIz7A,"Nichiban Sushi4U, Sikgaek, Crepe TO, Bake Code  - North York, Maple Yip Seafood Restaurant, KINKA IZAKAYA BLOOR, Matsuda Japanese Cuisine, Starbucks Reserve, The Six Cafe and Restaurant, Dumpling House Restaurant"
15,orh0HRUNCWuQMt9Iia_osg,"Tom's Dairy Freeze, Nando's, Green Tea Restaurant, Les Châteaux Restaurant, Biff's Bistro, The Cold Pressery, Original Congee, Cafe Alice, Nichiban Sushi4U, Matcha Tea & Dessert"
16,CQ67NJigSe5-uBDX3b_CUw,"Nando's Flame Grilled Chicken, Early Bird Coffee & Kitchen, La Chilaca Taqueria, Komeya Cafe, Fred's Not Here, Nami Restaurant, Mezes, Shiso Tree Cafe, Raijin Ramen, Completo"
17,jwctwzboGhQmtC50Juxa9A,"Enoteca Sociale, Resto Boemo, Thai Country Kitchen, Roll N Bowl, Bong Lua Vietnamese Restaurant, Mother's Dumplings, Chinese Dumpling House, Ding Tai Fung, Café Boulud, Playa Cabana"
18,TibBhm-fbksozIDFD8wjPQ,"Owl of Minerva, Drake One Fifty, Starving Artist, Junked Food Co, Mi'Hito Sushi Laboratory, Carousel Bakery, Urban Herbivore, Deer Garden Signatures, Terroni, STK Toronto"
19,ic-tyi1jElL_umxZVh8KNA,"Craft Beer Market, Hacienda las Américas, Charlotte's Homemade Goodies, Woody's Burger Bar and Grill, Bua Thai Cusine, Cocina Economica, Platform Espresso Bar, Soul Cafe, Simon Sushi, K&B Sushi"
20,uz5-sq6wHrXScrIWb8r1Mg,"Simit & Chai, Flaming Kitchen, Morals Village, Le Sélect Bistro, KINTON RAMEN QUEEN, Weslodge, Sugar Marmalade, Mr.Tonkatsu, Los Chicos Brasa, Yutaka"
21,LB5ViGU59ww2XRCx803t0w,"Burrito Boyz, Wonton Chai Noodle, Le Sélect Bistro, El Habanero & Churrobar, Ni Ji Sushi, The Lucky 20 Bakery + Cafe, Kazu, Get & Go Buritto, Soul Cafe, Kandahar Kabab"
22,8Dvr-U6jCZTVGD52LwC2qA,"Avani Asian Indian bistro, Yuzu No Hana, Tofu Village - House of Soon Tofu, Swatow Restaurant, Tapas At Embrujo, Initium, Gyugyuya, Congee Queen, Rol San, Bar Sybanne"
23,eZeBuiVZWT7u3SktO7mv9w,"STK Toronto, Moji Japanese Eatery, Sukho Thai, Early Bird Coffee & Kitchen, Bellwoods Brewery, Lohas Cafe, Lim Ga Ne, James Cheese Back Ribs, Sunrise House, The Alley"
24,Z09rco1enQXNCd9H0u7kvg,"Jatujak, Zen Japanese Restaurant, Chako, La Societe - Toronto, Sultan of Samosas, Little House HK cafe, Doomie's Toronto, CoCo Fresh Tea & Juice Richmond Hill, Soul Cafe, Xin Jiang Restaurant"
25,g-y4Me4bqDz8jwFzX_e17w,"Sandwicherie Sue, Brit & Chips, Over Easy Restaurant, Moleskine, Mon Ami - Korean BBQ, Universel, Gus, Hinnawi Bros Begal & Café, Brit & Chips, Chatime"
26,O3q-nwYZykMmacxjru01Zg,"DaiLo, Fushimi, Karine's, SPiN - Toronto, Han Ba Tang, Flaming Kitchen, The Oxley, Mira, Japango, Barsa Taberna"
27,Zd3wzNdevk15CwMIJdbjZw,"Little Piggy's, Urban Herbivore, Planta Burger, St Clair Banh Cuon Pho Ga, Lee Chen Asian Bistro, Sake Bar Kushi, Phoenix Cafe, Brickworks Cider House, Bar Verde, Gal's Sushi"
